source_file,start_s,end_s,pe,wpe,mpe_scale_1,mpe_scale_2,mpe_scale_3,mpe_scale_4,mpe_scale_5,basic_mean,basic_std,basic_rms,basic_max,basic_min,label
eruption.npy,0.0,10.0,0.744388082179716,0.5929388652415833,0.744388082179716,0.9406669041058734,0.9893838529880807,0.9745623057179119,0.9636283094015684,0.0009792596702826444,0.5688501072442309,0.5688509501277772,1.256607405478557,-1.1699241229213746,1.0
eruption.npy,5.0,15.0,0.7311746526553217,0.5892592176717887,0.7311746526553217,0.9466266394678492,0.9942770984801994,0.9878759876457652,0.9730960496258144,-0.010176796481098194,0.5527155538077213,0.5528092352770472,1.3127231901492669,-1.3618676047171758,1.0
eruption.npy,10.0,20.0,0.7337853148273633,0.58001704046378,0.7337853148273633,0.9518018907138126,0.9819855944500345,0.9862740275176101,0.9743796636860245,-6.874313735822568e-05,0.5409344499556127,0.540934454323627,1.3660048593734695,-1.3618676047171758,1.0
eruption.npy,15.0,25.0,0.7332858452710643,0.5701861551568991,0.7332858452710643,0.9508597710320208,0.9845516067198073,0.9879142774097738,0.9683712083052066,-0.00479211626391858,0.5470984343168696,0.5471194213425958,1.3660048593734695,-1.1939951084316778,1.0
eruption.npy,20.0,30.0,0.7412864765372184,0.5812341765974762,0.7412864765372184,0.9588747023263896,0.9917992323530943,0.9888713634959176,0.959392142047195,-0.005717433234977797,0.5436695137359213,0.5436995762446846,1.180261561276806,-1.2273753183775926,1.0
eruption.npy,25.0,35.0,0.7472021491594548,0.5932117648549547,0.7472021491594548,0.9564580461505254,0.9825350312890072,0.9880678230346781,0.9540752282551939,0.0051166421742167715,0.5335895361442143,0.5336140675710648,1.180261561276806,-1.2273753183775926,1.0
eruption.npy,30.0,40.0,0.7448608945004955,0.5840909240605453,0.7448608945004955,0.9503542124270036,0.9884206348788374,0.982849671835768,0.9628510426169782,-0.00563141523262177,0.5563057404690274,0.5563342428040134,1.5123396937015596,-1.3588749804496187,1.0
eruption.npy,35.0,45.0,0.7410859466854304,0.5807904128700442,0.7410859466854304,0.9439906166880173,0.9865796398110828,0.9816470204272557,0.9638675390795018,-0.007121306018108008,0.5678552738995185,0.56789992524643,1.5123396937015596,-1.3588749804496187,1.0
eruption.npy,40.0,50.0,0.7465773154826617,0.5856477934133377,0.7465773154826617,0.94431299194499,0.9882026709849554,0.9831873891445075,0.9640465735042631,-0.003895291163988624,0.5472279453009021,0.5472418089030655,1.2388351689311232,-1.2383209624835203,1.0
eruption.npy,45.0,55.0,0.7393667552189238,0.5906290236452092,0.7393667552189238,0.9451876897258614,0.9816789827262872,0.9837449564035381,0.9644655489954784,-0.0049259923799470475,0.5470827336979673,0.5471049103338119,1.506464364480047,-1.1860327831621293,1.0
